     Generation              N              E
              0              1     1.0008e+08
              1        2.99843    9.99661e+07
              2        7.73159      9.976e+07
              3        13.6043    9.92538e+07
              4        19.7805    9.84797e+07
              5        25.8362    9.74965e+07
              6        31.5579    9.63568e+07
              7        36.8443    9.51031e+07
              8        41.6575    9.37689e+07
              9        45.9964    9.23809e+07
             10        49.8814    9.09607e+07
             11        53.3455    8.95258e+07
             12        56.4282    8.80905e+07
             13        59.1718    8.66663e+07
             14        61.6186    8.52623e+07
             15        63.8084    8.38856e+07
             16        65.7769    8.25411e+07
             17        67.5551    8.12321e+07
             18        69.1692    7.99604e+07
             19        70.6409    7.87267e+07
             20        71.9885    7.75312e+07
             21        73.2269     7.6373e+07
             22        74.3689    7.52515e+07
             23        75.4253    7.41655e+07
             24        76.4053    7.31137e+07
             25        77.3168    7.20949e+07
             26        78.1666    7.11077e+07
             27        78.9608    7.01507e+07
             28        79.7044    6.92228e+07
             29        80.4021    6.83227e+07
             30        81.0579     6.7449e+07
             31        81.6754    6.66008e+07
             32        82.2578    6.57768e+07
             33        82.8078    6.49761e+07
             34         83.328    6.41975e+07
             35        83.8208    6.34402e+07
             36        84.2881    6.27033e+07
             37        84.7318     6.1986e+07
             38        85.1537    6.12873e+07
             39        85.5552    6.06067e+07
             40        85.9377    5.99432e+07
             41        86.3025    5.92964e+07
             42        86.6508    5.86654e+07
             43        86.9836    5.80498e+07
             44         87.302    5.74488e+07
             45        87.6067    5.68621e+07
             46        87.8987    5.62889e+07
             47        88.1787    5.57289e+07
             48        88.4474    5.51815e+07
             49        88.7054    5.46463e+07
             50        88.9534    5.41229e+07
             51         89.192    5.36108e+07
             52        89.4216    5.31097e+07
             53        89.6428    5.26192e+07
             54         89.856    5.21389e+07
             55        90.0615    5.16684e+07
             56          90.26    5.12076e+07
             57        90.4516    5.07559e+07
             58        90.6367    5.03133e+07
             59        90.8157    4.98793e+07
             60        90.9889    4.94537e+07
             61        91.1566    4.90362e+07
             62         91.319    4.86267e+07
             63        91.4764    4.82248e+07
             64        91.6291    4.78304e+07
             65        91.7772    4.74433e+07
             66         91.921    4.70632e+07
             67        92.0607      4.669e+07
             68        92.1966    4.63235e+07
             69        92.3287    4.59634e+07
             70        92.4572    4.56097e+07
             71        92.5824    4.52622e+07
             72        92.7044    4.49206e+07
             73        92.8233     4.4585e+07
             74        92.9392    4.42551e+07
             75        93.0524    4.39307e+07
             76        93.1629    4.36119e+07
             77        93.2709    4.32983e+07
             78        93.3765    4.29899e+07
             79        93.4797    4.26866e+07
             80        93.5808    4.23883e+07
             81        93.6797    4.20948e+07
             82        93.7766     4.1806e+07
             83        93.8716    4.15218e+07
             84        93.9648    4.12422e+07
             85        94.0562     4.0967e+07
             86        94.1459     4.0696e+07
             87         94.234    4.04293e+07
             88        94.3206    4.01667e+07
             89        94.4057    3.99082e+07
             90        94.4894    3.96535e+07
             91        94.5718    3.94027e+07
             92        94.6528    3.91557e+07
             93        94.7326    3.89123e+07
             94        94.8113    3.86726e+07
             95        94.8888    3.84363e+07
             96        94.9651    3.82035e+07
             97        95.0405    3.79741e+07
             98        95.1148    3.77479e+07
             99        95.1881     3.7525e+07
            100        95.2606    3.73051e+07
            101        95.3321    3.70884e+07
            102        95.4027    3.68747e+07
            103        95.4725    3.66639e+07
            104        95.5415     3.6456e+07
            105        95.6097    3.62509e+07
            106        95.6772    3.60486e+07
            107        95.7439    3.58489e+07
            108        95.8099    3.56519e+07
            109        95.8752    3.54574e+07
            110        95.9399    3.52655e+07
            111        96.0039    3.50761e+07
            112        96.0673     3.4889e+07
            113        96.1301    3.47044e+07
            114        96.1923     3.4522e+07
            115        96.2539    3.43419e+07
            116        96.3149     3.4164e+07
            117        96.3754    3.39883e+07
            118        96.4353    3.38147e+07
            119        96.4948    3.36431e+07
            120        96.5537    3.34736e+07
            121        96.6121    3.33061e+07
            122          96.67    3.31405e+07
            123        96.7274    3.29769e+07
            124        96.7844    3.28151e+07
            125        96.8409    3.26551e+07
            126        96.8969    3.24969e+07
            127        96.9525    3.23405e+07
            128        97.0076    3.21858e+07
            129        97.0623    3.20327e+07
            130        97.1166    3.18814e+07
            131        97.1704    3.17316e+07
            132        97.2239    3.15834e+07
            133        97.2769    3.14368e+07
            134        97.3295    3.12917e+07
            135        97.3818    3.11481e+07
            136        97.4336    3.10059e+07
            137         97.485    3.08652e+07
            138        97.5361    3.07259e+07
            139        97.5868     3.0588e+07
            140        97.6371    3.04515e+07
            141         97.687    3.03162e+07
            142        97.7366    3.01823e+07
            143        97.7858    3.00497e+07
            144        97.8347    2.99183e+07
            145        97.8832    2.97882e+07
            146        97.9314    2.96593e+07
            147        97.9792    2.95316e+07
            148        98.0267    2.94051e+07
            149        98.0739    2.92798e+07
            150        98.1208    2.91555e+07
            151        98.1673    2.90325e+07
            152        98.2135    2.89105e+07
            153        98.2594    2.87896e+07
            154         98.305    2.86698e+07
            155        98.3503     2.8551e+07
            156        98.3952    2.84333e+07
            157        98.4399    2.83166e+07
            158        98.4843    2.82009e+07
            159        98.5284    2.80862e+07
            160        98.5722    2.79724e+07
            161        98.6158    2.78597e+07
            162         98.659    2.77479e+07
            163         98.702     2.7637e+07
            164        98.7447    2.75271e+07
            165        98.7872     2.7418e+07
            166        98.8294    2.73099e+07
            167        98.8713    2.72027e+07
            168         98.913    2.70963e+07
            169        98.9544    2.69908e+07
            170        98.9956    2.68862e+07
            171        99.0366    2.67824e+07
            172        99.0773    2.66795e+07
            173        99.1177    2.65773e+07
            174         99.158     2.6476e+07
            175         99.198    2.63755e+07
            176        99.2378    2.62758e+07
            177        99.2773    2.61768e+07
            178        99.3167    2.60787e+07
            179        99.3558    2.59812e+07
            180        99.3947    2.58846e+07
            181        99.4334    2.57887e+07
            182        99.4718    2.56935e+07
            183        99.5101    2.55991e+07
            184        99.5482    2.55053e+07
            185         99.586    2.54123e+07
            186        99.6237      2.532e+07
            187        99.6611    2.52284e+07
            188        99.6984    2.51375e+07
            189        99.7355    2.50472e+07
            190        99.7723    2.49576e+07
            191         99.809    2.48687e+07
            192        99.8455    2.47805e+07
            193        99.8818    2.46928e+07
            194         99.918    2.46059e+07
            195        99.9539    2.45195e+07
            196        99.9897    2.44338e+07
            197        100.025    2.43487e+07
            198        100.061    2.42642e+07
            199        100.096    2.41803e+07
            200        100.131     2.4097e+07
            201        100.166    2.40144e+07
            202        100.201    2.39323e+07
            203        100.235    2.38507e+07
            204         100.27    2.37698e+07
            205        100.304    2.36894e+07
            206        100.338    2.36096e+07
            207        100.372    2.35303e+07
            208        100.405    2.34516e+07
            209        100.439    2.33734e+07
            210        100.472    2.32957e+07
            211        100.506    2.32186e+07
            212        100.539     2.3142e+07
            213        100.572     2.3066e+07
            214        100.604    2.29904e+07
            215        100.637    2.29153e+07
            216         100.67    2.28408e+07
            217        100.702    2.27668e+07
            218        100.734    2.26932e+07
            219        100.766    2.26201e+07
            220        100.798    2.25476e+07
            221         100.83    2.24755e+07
            222        100.861    2.24038e+07
            223        100.893    2.23327e+07
            224        100.924     2.2262e+07
            225        100.955    2.21917e+07
            226        100.986    2.21219e+07
            227        101.017    2.20526e+07
            228        101.048    2.19837e+07
            229        101.078    2.19153e+07
            230        101.109    2.18472e+07
            231        101.139    2.17797e+07
            232        101.169    2.17125e+07
            233        101.199    2.16458e+07
            234        101.229    2.15795e+07
            235        101.259    2.15136e+07
            236        101.288    2.14481e+07
            237        101.318     2.1383e+07
            238        101.347    2.13183e+07
            239        101.377     2.1254e+07
            240        101.406    2.11902e+07
            241        101.435    2.11267e+07
            242        101.463    2.10636e+07
            243        101.492    2.10009e+07
            244        101.521    2.09385e+07
            245        101.549    2.08766e+07
            246        101.578     2.0815e+07
            247        101.606    2.07538e+07
            248        101.634    2.06929e+07
            249        101.662    2.06324e+07
            250         101.69    2.05723e+07
            251        101.717    2.05125e+07
            252        101.745    2.04531e+07
            253        101.772    2.03941e+07
            254          101.8    2.03353e+07
            255        101.827     2.0277e+07
            256        101.854    2.02189e+07
            257        101.881    2.01612e+07
            258        101.908    2.01039e+07
            259        101.935    2.00469e+07
            260        101.961    1.99902e+07
            261        101.988    1.99338e+07
            262        102.014    1.98777e+07
            263        102.041     1.9822e+07
            264        102.067    1.97666e+07
            265        102.093    1.97115e+07
            266        102.119    1.96567e+07
            267        102.145    1.96022e+07
            268        102.171     1.9548e+07
            269        102.196    1.94942e+07
            270        102.222    1.94406e+07
            271        102.247    1.93873e+07
            272        102.272    1.93343e+07
            273        102.298    1.92816e+07
            274        102.323    1.92292e+07
            275        102.348    1.91771e+07
            276        102.373    1.91253e+07
            277        102.397    1.90738e+07
            278        102.422    1.90225e+07
            279        102.447    1.89716e+07
            280        102.471    1.89208e+07
            281        102.495    1.88704e+07
            282         102.52    1.88203e+07
            283        102.544    1.87704e+07
            284        102.568    1.87208e+07
            285        102.592    1.86714e+07
            286        102.616    1.86223e+07
            287        102.639    1.85735e+07
            288        102.663    1.85249e+07
            289        102.687    1.84766e+07
            290         102.71    1.84285e+07
            291        102.733    1.83807e+07
            292        102.757    1.83331e+07
            293         102.78    1.82858e+07
            294        102.803    1.82388e+07
            295        102.826    1.81919e+07
            296        102.849    1.81454e+07
            297        102.872     1.8099e+07
            298        102.894    1.80529e+07
            299        102.917    1.80071e+07
            300        102.939    1.79614e+07
            301        102.962     1.7916e+07
            302        102.984    1.78709e+07
            303        103.006    1.78259e+07
            304        103.028    1.77812e+07
            305         103.05    1.77367e+07
            306        103.072    1.76925e+07
            307        103.094    1.76484e+07
            308        103.116    1.76046e+07
            309        103.138     1.7561e+07
            310        103.159    1.75176e+07
            311        103.181    1.74744e+07
            312        103.202    1.74315e+07
            313        103.224    1.73887e+07
            314        103.245    1.73462e+07
            315        103.266    1.73039e+07
            316        103.287    1.72618e+07
            317        103.308    1.72198e+07
            318        103.329    1.71781e+07
            319         103.35    1.71366e+07
            320         103.37    1.70953e+07
            321        103.391    1.70542e+07
            322        103.412    1.70133e+07
            323        103.432    1.69726e+07
            324        103.452    1.69321e+07
            325        103.473    1.68918e+07
            326        103.493    1.68516e+07
            327        103.513    1.68117e+07
            328        103.533    1.67719e+07
            329        103.553    1.67324e+07
            330        103.573     1.6693e+07
            331        103.593    1.66538e+07
            332        103.613    1.66148e+07
            333        103.632     1.6576e+07
            334        103.652    1.65374e+07
            335        103.671    1.64989e+07
            336        103.691    1.64606e+07
            337         103.71    1.64225e+07
            338        103.729    1.63846e+07
            339        103.749    1.63468e+07
            340        103.768    1.63092e+07
            341        103.787    1.62718e+07
            342        103.806    1.62346e+07
            343        103.825    1.61975e+07
            344        103.843    1.61606e+07
            345        103.862    1.61239e+07
            346        103.881    1.60874e+07
            347        103.899     1.6051e+07
            348        103.918    1.60147e+07
            349        103.936    1.59787e+07
            350        103.955    1.59427e+07
            351        103.973     1.5907e+07
            352        103.991    1.58714e+07
            353        104.009     1.5836e+07
            354        104.027    1.58007e+07
            355        104.045    1.57656e+07
            356        104.063    1.57306e+07
            357        104.081    1.56958e+07
            358        104.099    1.56612e+07
            359        104.117    1.56267e+07
            360        104.134    1.55923e+07
            361        104.152    1.55581e+07
            362        104.169    1.55241e+07
            363        104.187    1.54902e+07
            364        104.204    1.54564e+07
            365        104.221    1.54228e+07
            366        104.239    1.53894e+07
            367        104.256    1.53561e+07
            368        104.273    1.53229e+07
            369         104.29    1.52899e+07
            370        104.307     1.5257e+07
            371        104.324    1.52242e+07
            372         104.34    1.51916e+07
            373        104.357    1.51591e+07
            374        104.374    1.51268e+07
            375        104.391    1.50946e+07
            376        104.407    1.50626e+07
            377        104.424    1.50306e+07
            378         104.44    1.49988e+07
            379        104.456    1.49672e+07
            380        104.473    1.49357e+07
            381        104.489    1.49043e+07
            382        104.505     1.4873e+07
            383        104.521    1.48419e+07
            384        104.537    1.48109e+07
            385        104.553      1.478e+07
            386        104.569    1.47493e+07
            387        104.585    1.47186e+07
            388        104.601    1.46881e+07
            389        104.616    1.46578e+07
            390        104.632    1.46275e+07
            391        104.648    1.45974e+07
            392        104.663    1.45674e+07
            393        104.679    1.45375e+07
            394        104.694    1.45078e+07
            395        104.709    1.44782e+07
            396        104.725    1.44486e+07
            397         104.74    1.44192e+07
            398        104.755      1.439e+07
            399         104.77    1.43608e+07
            400        104.785    1.43318e+07
            401          104.8    1.43028e+07
            402        104.815     1.4274e+07
            403         104.83    1.42453e+07
            404        104.845    1.42168e+07
            405         104.86    1.41883e+07
            406        104.874    1.41599e+07
            407        104.889    1.41317e+07
            408        104.903    1.41036e+07
            409        104.918    1.40755e+07
            410        104.932    1.40476e+07
            411        104.947    1.40198e+07
            412        104.961    1.39921e+07
            413        104.976    1.39645e+07
            414         104.99    1.39371e+07
            415        105.004    1.39097e+07
            416        105.018    1.38824e+07
            417        105.032    1.38553e+07
            418        105.046    1.38282e+07
            419         105.06    1.38013e+07
            420        105.074    1.37744e+07
            421        105.088    1.37477e+07
            422        105.102     1.3721e+07
            423        105.115    1.36945e+07
            424        105.129     1.3668e+07
            425        105.143    1.36417e+07
            426        105.156    1.36155e+07
            427         105.17    1.35893e+07
            428        105.183    1.35633e+07
            429        105.197    1.35374e+07
            430         105.21    1.35115e+07
            431        105.223    1.34858e+07
            432        105.237    1.34601e+07
            433         105.25    1.34346e+07
            434        105.263    1.34091e+07
            435        105.276    1.33837e+07
            436        105.289    1.33585e+07
            437        105.302    1.33333e+07
            438        105.315    1.33082e+07
            439        105.328    1.32832e+07
            440        105.341    1.32583e+07
            441        105.354    1.32335e+07
            442        105.366    1.32088e+07
            443        105.379    1.31842e+07
            444        105.392    1.31596e+07
            445        105.404    1.31352e+07
            446        105.417    1.31108e+07
            447        105.429    1.30866e+07
