Generation N dN
0 0.99999999999999989 0
1 2.9914754746297785 -0.0017748515677526999
2 8.9261853845302994 -0.0020102299088702313
3 25.978645952308824 -0.0020102299088862186
4 66.441946868951561 -0.0021101359688124877
5 121.95242729662883 -0.0021101359688124877
6 182.89336335227463 -0.0021101359686703791
7 243.90852165892406 -0.002110135968585114
8 302.21596100245415 -0.0021101359679882581
9 356.42490099515902 -0.0021101359674198239
10 405.92924261053901 -0.0021101359675335107
11 450.58672053953012 -0.0021101359679314147
12 490.53622477687196 -0.002110135967704041
13 526.08541728201317 -0.0021101359686135357
14 557.63615481849308 -0.002110135973274696
15 585.63153434217861 -0.0021101359728199487
16 610.51697492368908 -0.0021101359738431302
17 632.71249487092359 -0.0021101359741841907
18 652.59533603427246 -0.0021101359760031801
19 670.4920992138384 -0.0021101359756621196
20 686.67858375821106 -0.0021101359742978776
21 701.38462831001402 -0.0021101359762305538
22 714.80114480419797 -0.0021101359741841907
23 727.08725696828822 -0.002110135971910454
24 738.37648316890409 -0.0021101359736157566
25 748.78170605216008 -0.0021101359744115644
26 758.39906332459736 -0.002110135975434746
27 767.31098962068052 -0.0021101359745252513
28 775.58861286051024 -0.002110135973274696
29 783.29365972798792 -0.0021101359714557066
30 790.47998443007293 -0.0021101359737294434
31 797.19480542909355 -0.0021101359738431302
32 803.47971365322769 -0.0021101359729336355
33 809.37150031039528 -0.0021101359724788882
34 814.90284113466555 -0.0021101359724788882
35 820.10286550604621 -0.0021101359717967672
36 824.99763259279291 -0.0021101359720241408
37 829.61053190235134 -0.0021101359724788882
38 833.962621990005 -0.002110135972592575
39 838.07291827373911 -0.0021101359744115644
40 841.95863873111216 -0.0021101359742978776
41 845.63541455577877 -0.0021101359733883829
42 849.11747151582301 -0.0021101359737294434
43 852.41778669860105 -0.0021101359752073723
44 855.54822448470009 -0.0021101359764579275
45 858.51965491894623 -0.0021101359769126748
46 861.34205710307663 -0.0021101359769126748
47 864.02460979449336 -0.0021101359787316643
48 866.57577103747406 -0.0021101359783906037
49 869.00334835976582 -0.0021101359805506537
50 871.31456082644581 -0.0021101359829380772
51 873.51609404328838 -0.0021101359830517641
52 875.61414903629088 -0.0021101359854391877
53 877.61448579597482 -0.0021101359840749456
54 879.52246215967796 -0.0021101359830517641
55 881.34306860850859 -0.0021101359839612588
56 883.08095947445383 -0.0021101359840749456
57 884.74048098481035 -0.0021101359846433798
58 886.32569651356835 -0.002110135981005401
59 887.84040936040299 -0.002110135979641159
60 889.28818333654681 -0.0021101359804369668
61 890.67236140122088 -0.0021101359794137853
62 891.99608256196086 -0.0021101359797548458
63 893.26229722608184 -0.0021101359779358564
64 894.47378116778179 -0.0021101359789590379
65 895.63314825593773 -0.0021101359785042906
66 896.74286207047669 -0.0021101359785042906
67 897.80524652045654 -0.0021101359794137853
68 898.82249556390605 -0.0021101359798685326
69 899.79668211811497 -0.0021101359822559562
70 900.72976623909437 -0.0021101359820285825
71 901.62360264008987 -0.0021101359823696431
72 902.47994761142036 -0.0021101359828243904
73 903.30046539702414 -0.0021101359860076219
74 904.0867340773234 -0.0021101359871444902
75 904.8402510026574 -0.0021101359872581771
76 905.56243781708122 -0.0021101359863486824
77 906.25464510828613 -0.0021101359878266113
78 906.91815671586687 -0.0021101359866897429
79 907.55419372700703 -0.0021101359875992376
80 908.16391818600732 -0.0021101359907824691
81 908.74843654146446 -0.0021101359914645901
82 909.30880285277567 -0.002110135992942519
83 909.84602177570127 -0.0021101359926014585
84 910.36105134478782 -0.0021101359921467111
85 910.85480556897744 -0.0021101359914645901
86 911.32815685511252 -0.0021101359916919638
87 911.78193827277948 -0.0021101359895319138
88 912.21694567268878 -0.0021101359898729743
89 912.63393966971068 -0.0021101359916919638
90 913.0336475006111 -0.002110135990100348
91 913.41676476569921 -0.0021101359893045402
92 913.78395706276444 -0.0021101359898729743
93 914.13586152095957 -0.002110135988736106
94 914.47308824154618 -0.0021101359882813586
95 914.79622165199646 -0.0021101359874855508
96 915.10582177925505 -0.0021101359870308034
97 915.40242544760486 -0.0021101359870308034
98 915.68654740611032 -0.0021101359870308034
99 915.95868139024253 -0.0021101359880539849
100 916.21930112199254 -0.0021101359873718639
101 916.46886125237631 -0.0021101359863486824
102 916.70779825009447 -0.0021101359873718639
103 916.93653123975059 -0.0021101359846433798
104 917.15546279279442 -0.002110135985893935
105 917.3649796743116 -0.0021101359853255008
106 917.56545354830234 -0.002110135985211814
107 917.75724164421877 -0.002110135985893935
108 917.94068738710405 -0.0021101359862349955
109 918.11612099370643 -0.0021101359856665614
110 918.28386003665469 -0.0021101359885087323
111 918.44420997878922 -0.0021101359879402981
112 918.59746467941125 -0.0021101359880539849
113 918.74390687433311 -0.0021101359912372164
114 918.88380863130749 -0.002110135990100348
115 919.0174317823321 -0.0021101359896456007
116 919.14502833437052 -0.0021101359903277217
117 919.26684085973704 -0.0021101359906687822
118 919.38310286741171 -0.0021101359908961559
119 919.49403915645826 -0.0021101359926014585
120 919.59986615262972 -0.002110135994306761
121 919.70079222913898 -0.0021101359964668109
122 919.79701801257329 -0.002110135997148932
123 919.88873667476832 -0.0021101360011279713
124 919.97613421154892 -0.0021101360015827186
125 920.05938970895238 -0.0021101360005595371
126 920.13867559778635 -0.0021101360005595371
127 920.21415789708385 -0.002110135998513174
128 920.28599644707879 -0.0021101359989679214
129 920.35434513233201 -0.0021101360004458503
130 920.41935209546693 -0.0021101359997637292
131 920.48115994206194 -0.0021101359986268609
132 920.53990593713718 -0.0021101359990816082
133 920.59572219371967 -0.0021101359999911029
134 920.64873585384908 -0.002110135998513174
135 920.69906926241481 -0.0021101359999911029
136 920.7468401342411 -0.0021101359986268609
137 920.79216171467579 -0.0021101359996500424
138 920.83514293407995 -0.0021101360005595371
139 920.8758885564805 -0.0021101360003321634
140 920.91449932267085 -0.0021101359970352451
141 920.95107208802756 -0.0021101360001047897
142 920.98569995535888 -0.002110135998513174
143 921.01847240289271 -0.002110135997831053
144 921.04947540776197 -0.002110135999195295
145 921.07879156512593 -0.0021101360021511528
146 921.10650020316746 -0.0021101360024922133
147 921.13267749410136 -0.002110136003401708
148 921.15739656144535 -0.0021101360052206974
149 921.18072758369021 -0.0021101360044248896
150 921.20273789448493 -0.0021101360049933238
151 921.2234920795936 -0.0021101360052206974
152 921.24305207065208 -0.0021101360066986263
153 921.26147723595705 -0.0021101360054480711
154 921.2788244683328 -0.0021101360028332738
155 921.29514827025741 -0.0021101360021511528
156 921.31050083633534 -0.0021101360032880212
157 921.32493213324096 -0.0021101360014690318
158 921.33848997718292 -0.0021101360012416581
